,T1_HL48G,T2_HL48G,T4_HL48G,T5_HL48G,T11_HL48G,T12_HL48G,T13_HL48G,T14_HL48G,T15_HL48G,T16_HL48X,T17_HL48X,T18_HL48X,T19_HL48X,T21_HL48X,T22_HL48X,T23_HL48X,T24_HL48X
hotlake_ucc_71321,1003,515,184,1126,328,583,712,389,341,249,199,93,244,940,573,581,923
hotlake_ucc_71322,330,161,40,213,66,115,148,84,79,283,352,152,387,1145,778,768,377
hotlake_ucc_71324,3520,1805,471,3750,551,1848,2772,1272,1235,2950,3422,1003,3226,16283,8154,6595,4878
hotlake_ucc_71326,116,60,11,105,38,76,87,50,53,44,41,28,39,152,105,79,125
hotlake_ucc_71327,736,331,83,337,158,507,319,190,256,129,143,64,201,735,385,305,1110
hotlake_ucc_71328,652,392,108,354,107,295,245,142,215,127,134,65,157,638,442,393,992
hotlake_ucc_71330,492,191,63,218,80,291,163,108,157,68,162,55,141,546,409,360,682
hotlake_ucc_71332,498,217,90,291,71,214,162,100,151,124,129,76,167,550,320,302,741
hotlake_ucc_71333,360,167,45,170,99,169,116,98,102,129,161,56,182,444,263,270,370
hotlake_ucc_71334,8426,5528,2360,13049,1850,4243,6453,3135,2143,935,1114,617,1302,3524,2591,1895,5395
hotlake_ucc_71335,1708,816,230,940,261,865,652,445,538,433,440,165,506,1480,741,783,2382
hotlake_ucc_71336,292,119,25,185,86,178,136,91,95,76,98,45,136,326,248,203,361
hotlake_ucc_71337,3106,1440,290,1192,292,791,613,335,633,4023,3514,2749,4825,22904,16118,12946,3804
hotlake_ucc_71339,831,426,74,399,119,203,152,62,190,884,814,695,954,5302,4500,3955,1090
hotlake_ucc_71340,2000,1041,204,884,186,583,422,276,431,1557,1326,940,1697,10296,6648,4960,3246
hotlake_ucc_71341,941,485,105,454,108,385,323,174,259,305,369,129,442,1458,686,826,1694
hotlake_ucc_71342,1223,742,323,806,276,1292,777,293,738,304,347,183,478,1509,1118,846,2480
hotlake_ucc_71343,1375,842,351,1124,331,1189,703,350,686,540,518,271,536,1828,1358,1095,3244
hotlake_ucc_71345,12141,9298,2580,17531,2936,8994,10510,6847,5482,1005,1126,392,888,6295,3574,3071,9800
hotlake_ucc_71347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_71348,2,0,0,0,4,7,3982,0,6,329,339,39,452,10,66,3,31
hotlake_ucc_71349,1,2,1,3,6,2264,7267,0,13,247,501,41,524,19,213,16,86
hotlake_ucc_71350,2309,1183,373,1728,444,1097,985,537,657,546,484,235,488,2238,1363,1287,2542
hotlake_ucc_124566,11,2,2,10,2,5,5,5,3,3,3,3,3,10,5,10,41
hotlake_ucc_71351,1351,670,142,601,208,618,374,272,462,221,212,88,227,772,424,533,3078
hotlake_ucc_71352,4273,1907,520,2030,675,1767,1228,858,1271,742,762,280,600,2566,1509,1790,9639
hotlake_ucc_71353,12301,6800,2641,8674,2215,8141,5458,3496,4851,507,633,306,810,2298,1489,1237,13644
hotlake_ucc_71354,2459,1253,421,1384,474,1479,1005,657,795,344,315,137,381,1122,611,603,1789
hotlake_ucc_71355,1694,788,228,1101,314,981,823,387,457,133,213,63,216,626,362,272,1678
hotlake_ucc_71356,5146,3001,865,3469,1032,2374,1941,1153,1458,827,916,452,1020,3290,1821,2002,6427
hotlake_ucc_71358,6191,5542,2086,12674,685,3770,5922,3536,3922,19704,17702,10355,18429,19615,15143,29529,25980
hotlake_ucc_71359,7068,4191,1267,7695,523,1649,2688,1451,1488,16341,15007,7774,14167,9650,7783,15434,13423
hotlake_ucc_71360,1628,795,199,908,286,830,680,401,589,315,348,181,359,1481,870,752,2032
hotlake_ucc_71361,966,455,126,722,162,459,462,286,289,100,157,49,159,392,258,198,618
hotlake_ucc_71362,556,244,60,321,169,302,312,156,182,126,95,40,163,512,298,313,544
hotlake_ucc_71363,286,91,25,247,38,117,196,103,89,1180,1128,562,1358,3478,2317,2269,437
hotlake_ucc_71364,846,504,140,621,217,425,437,283,308,73,76,30,80,366,204,192,1484
hotlake_ucc_71365,9629,4689,1344,7757,2543,4783,5691,3533,3442,5793,5621,2748,6917,24451,18309,18453,11911
hotlake_ucc_71366,2377,1327,371,1618,463,1362,1012,627,886,584,628,273,606,2361,1397,1326,5231
hotlake_ucc_71367,1163,549,149,606,291,617,477,333,395,589,553,291,853,2552,1073,1057,3328
hotlake_ucc_71368,1772,932,398,1184,345,1048,766,456,443,168,236,85,293,700,381,294,1294
hotlake_ucc_71369,402,175,34,177,73,187,119,95,130,85,99,42,90,301,193,211,609
hotlake_ucc_71370,83,30,23,68,15,37,37,24,19,13,22,6,14,47,23,34,134
hotlake_ucc_71371,1981,912,352,1556,515,1304,1218,645,580,582,613,296,636,2124,1282,1171,1728
hotlake_ucc_71372,550,303,115,372,171,316,305,176,153,163,163,52,187,610,408,392,701
hotlake_ucc_71373,496,205,54,226,78,233,185,100,115,100,100,42,107,416,306,272,550
hotlake_ucc_71374,163,58,12,91,16,68,49,29,53,18,27,9,36,151,73,58,294
hotlake_ucc_71375,803,363,124,337,117,374,235,146,235,136,102,62,116,591,394,372,1749
hotlake_ucc_71376,376,198,54,151,64,134,101,62,94,53,50,34,64,210,108,105,811
hotlake_ucc_71377,1382,732,192,906,262,630,586,339,416,242,269,112,263,1064,581,582,1901
hotlake_ucc_71378,1378,543,196,578,343,517,418,262,338,251,236,95,295,836,492,461,1776
hotlake_ucc_71379,364,193,48,258,106,274,198,155,145,83,89,44,137,396,255,223,393
hotlake_ucc_71380,433,268,51,224,46,187,127,74,110,96,78,38,134,366,199,217,844
hotlake_ucc_71381,3385,1688,539,2363,666,1594,1422,797,1040,540,589,259,723,2555,1492,1376,4370
hotlake_ucc_71382,4800,3871,1369,7724,1334,3480,3033,1969,2177,485,506,198,447,2909,2169,1571,4294
hotlake_ucc_71383,5475,3954,1418,7091,1284,4172,3989,1901,1956,488,554,306,519,2792,1868,1313,3103
hotlake_ucc_71384,1068,567,189,1253,264,847,788,312,471,128,127,69,114,636,389,373,778
hotlake_ucc_71385,1158,548,145,802,286,675,615,296,296,190,215,97,216,936,546,548,715
hotlake_ucc_71386,3217,1675,428,1845,524,1687,1471,665,786,1084,1028,478,1187,3620,2313,2503,2042
hotlake_ucc_71387,1068,563,126,483,156,547,344,246,371,238,282,120,341,873,633,551,1694
hotlake_ucc_71388,786,506,147,433,102,450,284,176,367,59,52,29,80,456,251,256,1659
hotlake_ucc_71389,765,413,97,327,107,358,215,176,258,69,64,18,52,243,90,100,1385
hotlake_ucc_71390,4484,2184,672,2201,507,1756,999,721,1438,377,374,158,446,1551,985,886,6168
hotlake_ucc_71391,1328,594,154,514,228,628,357,254,411,125,122,46,151,519,321,292,1651
hotlake_ucc_71392,708,377,85,166,61,286,125,90,222,106,111,44,147,662,376,321,1932
hotlake_ucc_71393,11409,6887,1774,5152,1152,5322,2209,1572,2876,1142,1205,778,1355,4375,3633,2900,19837
hotlake_ucc_71394,1674,677,227,869,305,600,388,272,401,93,76,43,106,387,222,239,1911
hotlake_ucc_71395,1720,937,248,884,213,751,458,327,505,142,120,97,178,756,388,368,2479
hotlake_ucc_71396,5561,2585,761,2460,608,2733,1330,904,2103,430,393,201,580,1288,731,866,5219
hotlake_ucc_71398,2779,2023,698,3511,686,1860,1606,1028,1221,243,227,106,192,1083,762,541,2124
hotlake_ucc_71399,5788,4710,1565,7342,908,3828,2954,1924,2322,513,479,305,519,2624,2022,1220,4900
hotlake_ucc_71400,15434,15875,6888,23916,2972,10319,6286,5269,7060,877,809,478,710,4301,3370,1867,11058
hotlake_ucc_71401,27855,32366,13545,44930,5726,20258,10417,10368,16291,1203,1131,660,916,5704,4554,2575,23554
hotlake_ucc_71402,14646,16366,7331,29270,3546,13093,7957,7357,11037,509,450,281,434,2513,2452,1330,12374
hotlake_ucc_124567,172,65,18,69,25,74,54,35,52,27,45,9,44,264,92,118,151
hotlake_ucc_71403,212,121,28,260,58,161,185,90,78,32,44,23,48,169,139,146,155
hotlake_ucc_124568,2715,1829,578,2822,505,1119,1387,679,1006,186,189,91,187,1084,655,463,1632
hotlake_ucc_71404,97291,93485,42252,214584,27148,77141,61596,45911,48920,5076,5329,2875,4677,23877,18066,10494,49511
hotlake_ucc_71405,17865,12068,3571,24008,3780,10644,11812,6628,6865,9790,10533,7305,12681,29568,24550,15087,15850
hotlake_ucc_71406,4447,2708,866,4973,1077,2550,2618,1501,1814,1516,1663,968,1816,6872,5218,4027,6657
hotlake_ucc_71407,20138,13318,5233,33659,6418,13208,16897,9520,8583,3477,3715,2185,3604,17688,13597,9607,21677
hotlake_ucc_71408,2240,1101,390,2082,808,1084,1818,1082,646,754,588,343,821,3024,2131,2155,2468
hotlake_ucc_71409,3485,1736,1067,5037,1794,4071,4960,2362,2006,46,48,22,34,191,102,144,1129
hotlake_ucc_71410,829,435,162,820,272,726,784,383,396,90,123,47,119,425,320,277,901
hotlake_ucc_71412,984,541,173,708,196,431,467,210,314,75,118,47,120,596,344,283,1361
hotlake_ucc_71413,365,214,56,258,62,136,120,68,114,40,34,24,55,188,109,93,518
hotlake_ucc_71414,672,412,155,556,157,336,408,245,247,62,66,42,85,277,269,181,969
hotlake_ucc_71415,873,456,112,410,115,412,252,176,325,77,69,40,89,441,213,240,1338
hotlake_ucc_71416,906,390,105,275,72,320,185,107,244,53,59,30,87,432,206,217,1069
hotlake_ucc_71417,784,442,101,401,128,430,276,180,288,90,106,47,111,437,262,248,1208
hotlake_ucc_71418,386,184,53,169,71,180,142,78,116,146,129,57,184,437,249,242,389
hotlake_ucc_71420,780,380,98,337,98,323,183,116,193,314,290,106,336,1183,507,484,1002
hotlake_ucc_71421,1170,1133,534,3427,553,1293,1540,1307,1086,1193,1265,671,1339,2726,2521,2199,2562
hotlake_ucc_71423,1103678,891636,305278,2088688,98903,384976,579598,441129,415027,448082,511943,298820,525542,637151,498835,496986,586906
hotlake_ucc_71425,97,36,13,67,3,41,36,22,44,66,62,40,84,270,158,133,8015
hotlake_ucc_71426,100,42,4,37,8,28,18,18,28,121,135,60,172,478,301,272,12984
hotlake_ucc_71427,178,71,10,80,18,47,39,28,47,208,255,115,247,787,451,404,18670
hotlake_ucc_71428,382,174,35,215,35,112,107,77,122,416,452,274,481,2018,1227,884,36511
hotlake_ucc_71430,899,501,124,713,131,394,243,149,334,692,550,370,657,5527,2699,2273,45870
hotlake_ucc_71431,1317,717,107,727,93,334,211,169,328,344,396,289,600,4786,2459,1168,37212
hotlake_ucc_71432,953,444,139,747,240,614,636,320,315,67,69,58,92,485,274,273,3936
hotlake_ucc_71433,67,26,20,51,18,30,49,30,22,48,37,16,39,173,88,87,198
hotlake_ucc_71434,195,72,20,116,38,87,66,49,53,112,104,65,135,419,278,283,557
hotlake_ucc_71435,166,66,28,86,23,68,66,32,41,92,116,29,96,362,199,184,392
hotlake_ucc_71436,202,97,31,109,34,109,71,35,77,226,209,115,259,725,406,435,887
hotlake_ucc_71437,198,110,26,140,28,135,74,60,81,234,265,111,254,893,524,446,946
hotlake_ucc_71439,180,113,22,77,25,64,48,40,48,261,277,147,306,860,528,539,597
hotlake_ucc_71441,530,264,85,437,153,271,320,183,206,129,101,58,142,464,336,314,722
hotlake_ucc_71442,157,84,14,83,27,62,59,28,56,234,217,101,257,926,517,575,6460
hotlake_ucc_71443,144,57,9,65,20,55,49,34,32,177,236,103,271,747,522,507,8953
hotlake_ucc_71444,326,126,36,122,50,95,77,56,85,33,38,11,50,170,96,109,1544
hotlake_ucc_71445,822,427,104,541,167,336,338,162,230,120,120,47,104,493,324,295,3993
hotlake_ucc_71446,542,217,74,230,88,229,242,186,147,86,85,26,81,381,186,179,3202
hotlake_ucc_71447,760,317,69,341,118,268,225,174,166,368,353,183,401,1548,1021,1081,11607
hotlake_ucc_71448,2989,1922,480,3498,795,1523,1959,1157,1186,5895,5547,3347,6149,26913,20280,18315,69548
hotlake_ucc_71450,697,356,102,468,192,280,334,212,227,698,703,371,767,4053,2595,2561,8740
hotlake_ucc_71451,988,556,125,690,166,365,344,204,303,1541,1454,788,1688,7333,4416,4837,20858
hotlake_ucc_71452,24,19,12,23,6,19,19,9,8,38,59,17,51,131,128,115,1039
hotlake_ucc_71453,44,21,4,22,9,18,14,7,10,44,41,19,65,207,134,143,1834
hotlake_ucc_71454,17,9,3,30,10,11,6,4,14,36,31,19,45,161,90,88,1401
hotlake_ucc_71455,69,33,10,41,16,37,29,11,15,57,51,26,72,197,132,166,1854
hotlake_ucc_71456,1397,788,208,923,286,702,494,363,435,292,361,142,346,1194,684,704,3702
hotlake_ucc_71457,651,275,80,526,132,356,353,212,219,261,302,136,321,947,493,459,3979
hotlake_ucc_71458,744,369,84,532,100,287,256,173,235,416,459,199,433,1956,1124,1130,19955
hotlake_ucc_71459,230,114,55,231,77,117,128,88,69,124,106,60,144,496,375,303,3192
hotlake_ucc_71460,523,236,82,603,185,236,348,224,166,609,644,275,655,2361,1569,1514,15858
hotlake_ucc_71462,124,58,19,82,52,59,89,52,52,145,170,55,229,654,456,443,1113
hotlake_ucc_71463,166,76,18,125,46,85,99,57,64,127,176,72,217,672,420,436,1655
hotlake_ucc_71464,134,66,14,94,58,75,69,52,50,181,163,79,191,814,498,468,1406
hotlake_ucc_71465,315,136,28,178,65,130,126,77,97,136,129,60,148,594,414,362,1949
hotlake_ucc_71466,584,283,68,306,137,321,249,153,174,166,195,74,168,812,493,556,2952
hotlake_ucc_71467,420,200,65,357,131,245,230,115,146,127,144,71,187,611,379,387,2007
hotlake_ucc_71468,1200,573,149,893,261,509,567,310,337,159,179,70,183,550,307,301,1107
hotlake_ucc_71469,8883,6246,2512,15153,2647,4971,7058,4028,3291,622,531,284,475,2062,1345,1112,5277
hotlake_ucc_71470,5779,4394,1705,12464,1780,3444,5505,2569,2536,563,463,247,453,1919,1203,1057,4583
hotlake_ucc_71471,6053,4288,1746,12316,2144,3956,6040,3062,3104,810,746,301,615,2638,1683,1932,5632
hotlake_ucc_71472,1458,835,299,2367,437,693,1329,624,543,294,251,120,178,790,366,549,1282
hotlake_ucc_71473,1998,1091,302,2094,523,889,1031,618,586,594,476,195,451,1484,884,1267,2228
hotlake_ucc_71474,270,75,41,210,66,140,147,86,98,276,227,80,213,1190,1075,973,295
hotlake_ucc_71475,223,103,48,154,58,126,133,55,66,128,123,42,127,578,434,516,197
hotlake_ucc_71476,159,78,29,167,28,78,68,49,71,182,97,61,104,876,599,685,202
hotlake_ucc_71477,32,17,7,53,9,24,32,20,15,164,146,59,150,815,532,802,41
hotlake_ucc_71478,57,13,6,59,16,19,30,20,22,286,240,107,241,1535,902,1292,55
hotlake_ucc_71479,17,3,0,6,8,5,8,3,4,197,211,65,166,769,545,1019,27
hotlake_ucc_71480,507,246,101,505,156,265,318,166,139,94,113,53,105,473,290,264,699
hotlake_ucc_71481,317,135,309,2064,867,248,1291,1200,82,748,804,307,845,3082,1939,3147,300
hotlake_ucc_71482,162,94,325,4750,1595,162,3816,2653,89,1330,1223,601,1352,6376,4294,4803,797
hotlake_ucc_71484,137,69,286,3604,940,72,2650,1355,36,621,498,310,597,3082,1844,2174,436
hotlake_ucc_71485,91,52,145,2174,554,69,1434,808,44,292,279,159,296,1900,968,1181,294
hotlake_ucc_71486,674,357,122,1345,557,357,1283,762,219,240,213,123,281,1160,678,701,851
hotlake_ucc_71487,240,112,48,206,32,121,103,48,65,94,80,31,59,322,188,197,258
hotlake_ucc_71488,16,7,3,8,0,6,2,2,3,1,4,0,5,8,3,4,36
hotlake_ucc_71489,220,150,34,150,23,150,95,43,97,33,32,18,47,175,99,94,278
hotlake_ucc_71490,3175,1878,694,3654,790,1948,1805,1046,1083,600,610,316,556,3036,2206,1663,2861
hotlake_ucc_71491,475,365,117,776,143,360,331,172,221,166,143,66,149,616,413,334,471
hotlake_ucc_71492,577,288,92,520,120,425,442,238,278,210,279,149,306,1675,1088,817,345
hotlake_ucc_71493,571,359,97,716,126,274,340,179,183,222,246,140,205,1189,677,636,659
hotlake_ucc_71494,24,13,3,22,1,5,9,2,8,14,12,4,9,56,45,24,29
hotlake_ucc_71495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_71496,939,668,216,1155,209,592,576,356,421,123,139,60,103,719,429,345,1108
hotlake_ucc_71497,8,6,0,18,1,4,6,5,4,4,0,1,2,4,1,5,10
hotlake_ucc_71498,2850,1619,561,3085,616,1607,1949,1022,1210,1476,1356,845,1476,6567,4800,3996,3560
hotlake_ucc_71499,95,48,20,87,33,53,46,27,41,33,64,21,60,223,111,109,129
hotlake_ucc_71500,109,58,20,73,25,60,57,20,34,93,81,46,80,338,181,174,144
hotlake_ucc_71501,1087,478,126,488,101,391,203,178,309,1508,1511,840,1667,5071,3853,3728,966
hotlake_ucc_71502,1097,521,86,333,57,421,188,158,295,4225,4446,2401,5510,20123,15255,13315,2481
hotlake_ucc_71504,114,33,6,23,2,35,16,4,19,302,290,157,448,1482,1000,1151,229
hotlake_ucc_71505,479,187,40,123,28,171,100,59,141,1120,1139,658,1473,5389,4128,3731,1017
hotlake_ucc_71506,287,111,33,113,30,90,67,43,81,717,726,404,955,3654,2414,2138,779
hotlake_ucc_71507,424,187,41,149,54,194,128,99,120,1003,962,514,1230,4449,3290,3151,1123
hotlake_ucc_71508,5225,2857,664,1374,329,1660,610,417,1385,618,534,316,567,2402,1523,1486,2841
hotlake_ucc_71509,730,328,104,330,182,363,233,188,204,212,215,66,285,622,399,383,818
hotlake_ucc_71510,489,235,66,239,105,223,183,95,130,112,137,59,148,422,245,236,683
hotlake_ucc_71511,740,467,201,825,152,418,386,226,231,77,83,40,79,450,256,216,654
hotlake_ucc_71512,4790,2431,574,2005,887,3099,2168,1085,2398,7095,7152,3607,7911,37787,27723,21858,13430
hotlake_ucc_71513,4059,2097,526,1862,706,2174,1438,856,1481,5488,5522,3149,6241,26356,22605,18411,6768
hotlake_ucc_71514,11393,5400,1248,4361,1940,5696,3735,2238,4612,14070,12909,7789,16296,70521,54420,45803,24619
hotlake_ucc_71515,1175,596,130,570,155,404,348,209,295,881,893,535,1046,4480,3709,3054,1549
hotlake_ucc_71516,2358,1145,262,967,337,901,613,455,581,2785,2845,1346,3433,13016,9823,7233,2912
hotlake_ucc_71517,12382,6476,1365,6017,2247,5473,3811,2543,3467,13891,14557,7539,16272,59521,40019,38561,9526
hotlake_ucc_71518,1312,947,194,961,118,571,421,280,376,171,142,98,172,708,376,300,1404
hotlake_ucc_71519,923,484,92,398,113,406,238,167,280,75,75,33,81,428,208,209,916
hotlake_ucc_71520,1401,707,181,641,295,850,508,330,459,400,356,168,419,1294,745,807,1628
hotlake_ucc_71521,777,408,121,371,131,393,239,146,214,176,188,81,223,590,342,318,816
hotlake_ucc_71522,3578,1747,431,2069,701,1828,1810,758,1076,1191,1329,665,1579,6445,4119,3754,2584
hotlake_ucc_71523,2757,1399,312,1413,360,1198,942,582,684,1677,1539,803,1722,5910,3980,4123,2525
hotlake_ucc_71524,992,452,118,514,223,492,405,247,271,618,603,197,665,2245,1645,1626,865
hotlake_ucc_71525,4826,2527,766,4058,1036,2773,2483,1434,1668,1173,1099,546,1224,5446,3456,3038,4725
hotlake_ucc_71526,502,237,49,331,81,272,238,151,152,217,170,81,227,804,518,619,587
hotlake_ucc_71527,2853,1502,352,3765,1247,883,2333,1224,742,5048,4170,2272,5574,25093,17064,15258,1522
hotlake_ucc_71528,3049,1597,261,3250,986,983,1929,988,755,4052,3667,2282,4947,20810,16418,11504,803
hotlake_ucc_71529,1632,689,116,1272,514,427,821,450,356,3922,3547,2353,6021,20090,16087,13802,787
hotlake_ucc_71530,1545,723,135,1318,462,401,887,510,351,6913,6564,4392,10796,29964,25742,20973,865
hotlake_ucc_71531,916,443,89,895,334,222,597,338,204,5596,5083,3434,8298,24111,18648,14665,571
hotlake_ucc_71532,5912,3944,1283,5102,903,2593,2888,1548,2108,534,548,248,413,2829,1558,1632,6157
hotlake_ucc_71533,3051,2334,694,2424,521,1214,1336,779,890,250,291,106,186,1486,768,860,2892
hotlake_ucc_71534,7079,6995,2117,9962,1270,2671,4300,1992,1675,465,620,262,445,1865,1283,1241,2024
hotlake_ucc_71535,1460,1525,491,2247,180,554,895,429,490,23,45,12,30,154,94,116,371
hotlake_ucc_71536,932,910,284,1274,83,272,519,254,184,12,47,10,21,91,59,72,253
hotlake_ucc_71537,2005,1649,499,2716,338,1015,1373,714,723,191,195,85,155,815,514,472,1302
hotlake_ucc_71538,31774,37163,13614,58668,4477,14750,14622,9711,11707,918,1408,572,879,6165,3527,3109,8620
hotlake_ucc_71539,7088,3811,1090,4580,366,683,665,415,453,858,904,312,907,848,475,503,2299
hotlake_ucc_71540,2966,1648,426,1870,103,228,225,141,135,325,411,167,400,386,264,255,964
hotlake_ucc_71542,1086,577,159,649,115,359,288,180,235,129,133,50,142,417,248,270,752
hotlake_ucc_71543,339,201,36,244,66,123,142,83,100,264,288,143,379,1361,766,798,410
hotlake_ucc_71544,709,348,84,451,158,281,276,173,216,387,452,174,413,1561,1011,1040,819
hotlake_ucc_71545,623,359,94,412,120,272,224,108,163,197,220,71,199,633,286,293,666
hotlake_ucc_71546,1228,761,273,1135,196,538,443,240,399,213,176,89,186,817,512,516,984
hotlake_ucc_71547,320,168,54,215,44,123,117,79,103,53,62,34,51,269,140,88,325
hotlake_ucc_71548,1179,690,274,1412,233,715,875,456,390,192,158,131,228,1037,692,583,1571
hotlake_ucc_71549,530,349,117,654,94,273,265,181,176,118,109,60,137,411,327,262,537
hotlake_ucc_124569,10,6,0,6,5,6,8,7,5,2,2,0,6,13,8,4,20
hotlake_ucc_71550,1338,833,264,1493,238,695,746,423,468,252,238,115,272,1124,821,621,1409
hotlake_ucc_71551,493,257,60,262,82,218,127,105,137,97,113,56,131,459,293,302,820
hotlake_ucc_71552,216,136,40,219,17,91,77,59,38,43,46,21,38,154,91,74,347
hotlake_ucc_71553,409,222,63,408,48,173,155,95,139,108,133,51,104,467,278,229,782
hotlake_ucc_71554,1937,1022,269,1299,357,942,913,585,702,1439,1296,781,1567,6926,4726,4666,2191
hotlake_ucc_71555,703,408,161,1372,469,470,932,427,297,235,312,191,416,1901,1656,1028,1098
hotlake_ucc_71556,501,323,120,778,207,314,554,265,174,169,175,99,230,1028,815,598,885
hotlake_ucc_71557,348,143,38,188,76,172,139,60,107,136,145,50,172,428,256,282,542
hotlake_ucc_124570,626,325,113,939,239,379,643,275,200,122,112,61,96,625,526,303,439
hotlake_ucc_71558,7963,4284,1407,8868,2197,4664,6124,2957,2749,1496,1789,1081,2246,10814,7873,5923,7663
hotlake_ucc_71559,962,514,183,978,238,495,629,309,369,203,194,85,159,757,547,461,1436
hotlake_ucc_71560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_71561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_71562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_71563,1283,627,167,896,484,686,521,380,590,3031,3889,1222,3355,12545,7755,5912,1242
hotlake_ucc_71564,1055,485,184,917,489,606,547,364,485,1810,2360,690,1906,8468,5487,5640,816
hotlake_ucc_71565,286,187,68,408,92,192,317,159,154,167,170,117,201,1305,932,586,319
hotlake_ucc_71566,948,519,169,740,182,507,457,242,338,576,601,319,736,3417,2279,1683,1083
hotlake_ucc_71567,238,154,40,192,57,96,100,70,79,193,214,102,235,993,679,541,464
hotlake_ucc_71568,408,238,52,296,76,220,193,86,156,265,308,154,342,1467,1010,822,724
hotlake_ucc_71569,2354,1246,322,1281,488,1416,1061,666,652,729,679,411,795,3978,2331,2367,4058
hotlake_ucc_71570,525,256,75,367,98,237,191,134,167,74,85,28,84,354,245,219,537
hotlake_ucc_71571,521,279,62,394,155,244,271,191,142,102,128,57,115,438,235,200,498
hotlake_ucc_71572,1681,1062,371,1934,317,860,988,629,617,344,333,192,371,2538,1866,1409,2158
hotlake_ucc_71573,5139,3581,1128,6541,1075,3405,2738,1652,2305,813,841,437,699,4628,3366,2446,4738
hotlake_ucc_71574,1570,929,306,2059,557,952,1196,641,565,1504,1425,732,1529,6345,4519,3511,1617
hotlake_ucc_71575,534,259,74,367,116,255,219,118,187,345,327,169,361,1379,836,860,933
hotlake_ucc_71576,347,179,33,171,77,153,89,65,118,230,261,85,325,1038,720,643,785
hotlake_ucc_71577,3027,1236,342,1395,456,1158,1068,623,740,700,862,336,855,3239,1786,2147,3174
hotlake_ucc_71578,1013,450,100,478,207,587,420,247,365,116,145,47,131,477,245,261,1038
hotlake_ucc_71579,1178,644,221,759,189,602,407,258,425,181,158,80,191,784,414,462,1542
hotlake_ucc_71581,686,321,65,322,89,317,241,162,226,191,239,76,231,995,555,590,840
hotlake_ucc_71582,355,210,63,224,59,201,168,74,131,127,125,81,150,511,339,287,409
hotlake_ucc_71583,3720,2668,983,4840,903,2649,2544,1519,1608,595,619,296,603,2728,1989,1372,4042
hotlake_ucc_71584,569,229,75,263,79,215,154,84,124,133,129,68,145,398,187,242,715
hotlake_ucc_71585,394,274,55,423,95,197,222,125,105,152,148,69,123,869,535,523,231
hotlake_ucc_71586,2437,1249,386,1755,480,1227,1314,639,710,815,697,310,786,3795,1812,1692,2552
hotlake_ucc_71587,1713,824,232,1196,304,764,818,405,455,685,585,302,669,3132,1882,1851,1900
hotlake_ucc_71588,457,278,72,240,71,258,178,90,170,49,61,39,74,248,173,154,968
hotlake_ucc_71589,211,91,32,95,38,80,54,36,43,33,35,15,48,130,62,69,271
hotlake_ucc_71590,376,213,43,236,102,216,195,104,104,99,73,27,90,256,134,137,401
hotlake_ucc_71591,630,326,84,340,101,297,227,150,165,119,107,54,114,421,221,201,555
hotlake_ucc_71592,357,213,52,197,47,121,127,70,121,36,37,16,41,244,137,93,473
hotlake_ucc_71593,2971,1539,353,1236,305,778,542,520,603,1370,1152,637,1587,4755,2655,2512,3122
hotlake_ucc_71594,972,591,217,888,133,547,410,261,316,209,213,117,244,860,598,390,936
hotlake_ucc_71595,5053,3211,1313,4582,954,4318,2480,1638,2693,1497,1521,1038,1964,7481,6579,4089,5665
hotlake_ucc_71597,528,334,135,299,73,390,192,113,290,131,156,77,164,918,590,381,565
hotlake_ucc_71598,1971,1192,463,1456,310,1371,800,442,997,373,407,249,571,2081,1602,1053,1809
hotlake_ucc_71599,717,424,134,421,136,566,320,202,348,178,205,114,293,823,548,466,937
hotlake_ucc_71600,242,150,40,201,38,117,130,70,79,48,53,20,61,204,127,122,323
hotlake_ucc_71601,98,64,32,114,9,49,69,29,44,19,25,12,28,116,84,46,155
hotlake_ucc_71602,57,32,6,43,26,30,26,15,24,21,19,12,10,54,34,46,65
hotlake_ucc_71603,188,82,21,135,39,96,93,54,62,66,90,34,70,262,215,222,328
hotlake_ucc_71605,219,118,48,103,24,114,96,47,73,42,50,25,46,160,119,108,219
hotlake_ucc_71606,192,113,27,169,61,100,120,80,56,58,50,20,61,284,150,162,291
hotlake_ucc_71607,199,131,38,120,27,115,83,51,69,58,68,33,87,243,149,136,352
hotlake_ucc_124571,225,112,32,480,200,151,336,202,77,51,63,12,57,203,197,207,315
hotlake_ucc_71608,130,92,31,287,122,98,222,124,69,42,55,15,32,265,171,192,323
hotlake_ucc_71609,541,245,83,670,162,208,415,218,158,116,123,56,123,615,363,334,920
hotlake_ucc_71610,593,288,391,6959,2795,338,6615,3484,212,235,286,150,274,887,697,718,420
hotlake_ucc_71611,389,185,40,147,52,133,118,71,74,33,43,15,46,188,88,87,422
hotlake_ucc_71612,7703,5493,2407,16645,2677,4377,6003,3729,2497,1590,1552,801,1462,6780,5532,3766,5333
hotlake_ucc_71613,114,48,12,57,21,49,28,19,21,20,27,8,24,107,45,45,220
