Locus_Tag,T6_HL58G,T7_HL58G,T8_HL58G,T9_HL58G,T10_HL58G,T11_HL58G,T12_HL58G,T13_HL58G,T14_HL58G,T15_HL58G,T21_HL58X,T22_HL58X,T23_HL58X,T24_HL58X
hotlake_ucc_82899,247,184,226,224,234,58,102,109,73,82,8,6,3,19
hotlake_ucc_82900,171,181,182,194,171,18,100,34,27,99,4,3,6,4
hotlake_ucc_82901,377,262,349,287,328,58,161,138,67,184,19,2,3,12
hotlake_ucc_82902,670,487,619,542,604,77,192,233,105,125,11,4,5,17
hotlake_ucc_82903,290,246,293,233,275,34,204,109,71,153,6,4,6,9
hotlake_ucc_82904,778,582,615,599,647,68,304,212,143,229,25,9,4,48
hotlake_ucc_82905,213,161,221,169,187,30,109,49,39,84,19,7,6,19
hotlake_ucc_82906,180,167,178,198,202,38,162,77,42,126,4,1,2,6
hotlake_ucc_82907,1917,1592,1753,2649,2375,94,589,361,306,526,27,31,19,72
hotlake_ucc_82908,1813,1325,1737,2429,1996,109,638,313,323,598,43,29,23,93
hotlake_ucc_82909,9277,6699,8226,10215,8665,769,2698,1906,1446,2433,208,117,90,354
hotlake_ucc_82910,6262,4515,5573,4816,5931,340,800,1071,732,621,23,10,14,36
hotlake_ucc_82912,1822,1379,1513,1459,1629,85,358,322,181,352,20,15,12,36
hotlake_ucc_82913,413,272,372,296,387,50,144,157,109,153,10,5,3,16
hotlake_ucc_82914,836,716,911,805,957,57,236,201,109,179,69,33,41,149
hotlake_ucc_82915,2112,1763,2083,1751,1880,271,959,608,449,807,49,31,25,112
hotlake_ucc_82916,670,632,729,543,651,63,301,168,90,220,10,6,7,31
hotlake_ucc_82917,285,276,265,216,258,24,154,90,53,121,3,6,3,11
hotlake_ucc_82918,1303,929,1232,1101,1039,195,1610,445,268,1171,34,20,12,63
hotlake_ucc_82919,1393,1218,1264,1453,1435,126,633,373,267,502,20,28,23,73
hotlake_ucc_82920,1230,859,1125,957,1126,134,739,318,276,621,26,12,7,52
hotlake_ucc_82921,1042,761,900,766,916,125,689,311,259,586,22,13,20,57
hotlake_ucc_82922,592,438,489,363,440,92,316,176,150,222,4,8,8,13
hotlake_ucc_82923,814,572,690,592,689,99,537,273,219,372,28,4,20,29
hotlake_ucc_82924,3531,2515,3308,2489,3008,393,1670,986,661,1146,73,38,35,169
